"text","annotations"
"Я живу в Нижний Новгород, мкр Центральный, квартал 34.","Я O
живу O
в O
Нижний B-City
Новгород I-City
, O
мкр B-Microdistrict
Центральный I-Microdistrict
, O
квартал B-Quarter
34 I-Quarter
. O"
"Адрес: городе Москва, улица Садовая, д. 6, стр 5, квартира 20.","Адрес O
: O
городе B-City
Москва I-City
, O
улица B-Street
Садовая I-Street
, O
д. B-House
6 I-House
, O
стр B-Building
5 I-Building
, O
квартира B-Flat
20 I-Flat
. O"
"Точка на карте: Санкт-Петербург, улица Новая, доме 66, сооружение 10.","Точка O
на O
карте O
: O
Санкт-Петербург B-City
, O
улица B-Street
Новая I-Street
, O
доме B-House
66 I-House
, O
сооружение B-Structure
10 I-Structure
. O"
"Адрес: Омская область, город Великий Новгород, улица Чехова, д. 10.","Адрес O
: O
Омская B-Oblast
область I-Oblast
, O
город B-City
Великий I-City
Новгород I-City
, O
улица B-Street
Чехова I-Street
, O
д. B-House
10 I-House
. O"
"Доставка по адресу: Хабаровский край, городе Санкт-Петербург, проспекте Славы, дом 223, кв 335.","Доставка O
по O
адресу O
: O
Хабаровский B-Krai
край I-Krai
, O
городе B-City
Санкт-Петербург I-City
, O
проспекте B-Avenue
Славы I-Avenue
, O
дом B-House
223 I-House
, O
кв B-Flat
335 I-Flat
. O"
"Мы переехали в Крым, в город Владивосток, бульвар Морской, д. 139.","Мы O
переехали O
в O
Крым B-Republic
, O
в O
город B-City
Владивосток I-City
, O
бульвар B-Boulevard
Морской I-Boulevard
, O
д. B-House
139 I-House
. O"
"Я родился в деревни Сосновка, в Кировский район, Новосибирская область.","Я O
родился O
в O
деревни B-Village
Сосновка I-Village
, O
в O
Кировский B-District
район I-District
, O
Новосибирская B-Oblast
область I-Oblast
. O"
"Поеду в посёлке Южный, Фрунзенский район, Красноярский край.","Поеду O
в O
посёлке B-Poselok
Южный I-Poselok
, O
Фрунзенский B-District
район I-District
, O
Красноярский B-Krai
край I-Krai
. O"
"Склад: Ханты-Мансийский автономный округ, город Великий Новгород, шоссе Каширское, дом 122, строение Б, сооружение В.","Склад O
: O
Ханты-Мансийский B-AO
автономный I-AO
округ I-AO
, O
город B-City
Великий I-City
Новгород I-City
, O
шоссе B-Highway
Каширское I-Highway
, O
дом B-House
122 I-House
, O
строение B-Building
Б I-Building
, O
сооружение B-Structure
В I-Structure
. O"
"Встретимся на набережная Енисея в Тула.","Встретимся O
на O
набережная B-Embankment
Енисея I-Embankment
в O
Тула B-City
. O"
"Живу в микрорайоне Новый, Набережные Челны, улица Космонавтов, доме 19.","Живу O
в O
микрорайоне B-Microdistrict
Новый I-Microdistrict
, O
Набережные B-City
Челны I-City
, O
улица B-Street
Космонавтов I-Street
, O
доме B-House
19 I-House
. O"
"Квартира квартире 166 находится по адресу: Сургут, переулке Берёзовый, д. 90Б.","Квартира O
квартире B-Flat
166 I-Flat
находится O
по O
адресу O
: O
Сургут B-City
, O
переулке B-Lane
Берёзовый I-Lane
, O
д. B-House
90Б I-House
. O"
"Наш офис в муниципальное образование Сириус, Санкт-Петербург, проспект Героев, д 12.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Сириус I-Municipality
, O
Санкт-Петербург B-City
, O
проспект B-Avenue
Героев I-Avenue
, O
д B-House
12 I-House
. O"
"Мы находимся в Россия, Свердловская область, Нижний Новгород.","Мы O
находимся O
в O
Россия B-Country
, O
Свердловская B-Oblast
область I-Oblast
, O
Нижний B-City
Новгород I-City
. O"
"Отправь письмо: Россия, Удмуртия, Приморский район, селе Петрово, улице Победы, дом 79.","Отправь O
письмо O
: O
Россия B-Country
, O
Удмуртия B-Republic
, O
Приморский B-District
район I-District
, O
селе B-Selo
Петрово I-Selo
, O
улице B-Street
Победы I-Street
, O
дом B-House
79 I-House
. O"
"Я живу в город Набережные Челны, мкр Заречный, квартале 36.","Я O
живу O
в O
город B-City
Набережные I-City
Челны I-City
, O
мкр B-Microdistrict
Заречный I-Microdistrict
, O
квартале B-Quarter
36 I-Quarter
. O"
"Адрес: Омск, улица Пушкина, д 150, стр 1, квартира 146.","Адрес O
: O
Омск B-City
, O
улица B-Street
Пушкина I-Street
, O
д B-House
150 I-House
, O
стр B-Building
1 I-Building
, O
квартира B-Flat
146 I-Flat
. O"
"Точка на карте: город Томск, улица Октябрьская, дом 100, сооружении А.","Точка O
на O
карте O
: O
город B-City
Томск I-City
, O
улица B-Street
Октябрьская I-Street
, O
дом B-House
100 I-House
, O
сооружении B-Structure
А I-Structure
. O"
"Адрес: Тверская область, Владивосток, улица Космонавтов, д. 125.","Адрес O
: O
Тверская B-Oblast
область I-Oblast
, O
Владивосток B-City
, O
улица B-Street
Космонавтов I-Street
, O
д. B-House
125 I-House
. O"
"Доставка по адресу: Красноярский край, города Великий Новгород, проспект Невский, доме 237, квартире 251.","Доставка O
по O
адресу O
: O
Красноярский B-Krai
край I-Krai
, O
города B-City
Великий I-City
Новгород I-City
, O
проспект B-Avenue
Невский I-Avenue
, O
доме B-House
237 I-House
, O
квартире B-Flat
251 I-Flat
. O"
"Мы переехали в Дагестан, в города Киров, бульвар Морской, д. 208Б.","Мы O
переехали O
в O
Дагестан B-Republic
, O
в O
города B-City
Киров I-City
, O
бульвар B-Boulevard
Морской I-Boulevard
, O
д. B-House
208Б I-House
. O"
"Я родился в деревня Заречье, в Калининский район, Челябинская область.","Я O
родился O
в O
деревня B-Village
Заречье I-Village
, O
в O
Калининский B-District
район I-District
, O
Челябинская B-Oblast
область I-Oblast
. O"
"Поеду в поселке Молодежный, Первомайский район, Хабаровский край.","Поеду O
в O
поселке B-Poselok
Молодежный I-Poselok
, O
Первомайский B-District
район I-District
, O
Хабаровский B-Krai
край I-Krai
. O"
"Склад: Ямало-Ненецкий автономный округ, города Курск, шоссе Московское, д 62, строении В, сооружении 9.","Склад O
: O
Ямало-Ненецкий B-AO
автономный I-AO
округ I-AO
, O
города B-City
Курск I-City
, O
шоссе B-Highway
Московское I-Highway
, O
д B-House
62 I-House
, O
строении B-Building
В I-Building
, O
сооружении B-Structure
9 I-Structure
. O"
"Встретимся на набережная Дона в Тула.","Встретимся O
на O
набережная B-Embankment
Дона I-Embankment
в O
Тула B-City
. O"
"Живу в микрорайоне Южный, Омск, улица Парковая, доме 82В.","Живу O
в O
микрорайоне B-Microdistrict
Южный I-Microdistrict
, O
Омск B-City
, O
улица B-Street
Парковая I-Street
, O
доме B-House
82В I-House
. O"
"Квартира кв 61 находится по адресу: города Омск, переулке Школьный, д 247.","Квартира O
кв B-Flat
61 I-Flat
находится O
по O
адресу O
: O
города B-City
Омск I-City
, O
переулке B-Lane
Школьный I-Lane
, O
д B-House
247 I-House
. O"
"Наш офис в муниципальное образование Центральный, Калуга, проспект Космонавтов, доме 28А.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Центральный I-Municipality
, O
Калуга B-City
, O
проспект B-Avenue
Космонавтов I-Avenue
, O
доме B-House
28А I-House
. O"
"Мы находимся в РФ, Тюменская область, города Псков.","Мы O
находимся O
в O
РФ B-Country
, O
Тюменская B-Oblast
область I-Oblast
, O
города B-City
Псков I-City
. O"
"Отправь письмо: Россия, Татарстан, Первомайский район, села Сидорово, улица Чехова, д 183.","Отправь O
письмо O
: O
Россия B-Country
, O
Татарстан B-Republic
, O
Первомайский B-District
район I-District
, O
села B-Selo
Сидорово I-Selo
, O
улица B-Street
Чехова I-Street
, O
д B-House
183 I-House
. O"
"Я живу в город Тюмень, микрорайон Южный, квартал 3.","Я O
живу O
в O
город B-City
Тюмень I-City
, O
микрорайон B-Microdistrict
Южный I-Microdistrict
, O
квартал B-Quarter
3 I-Quarter
. O"
"Адрес: Томск, улица Парковая, доме 194А, строении Б, квартире 455.","Адрес O
: O
Томск B-City
, O
улица B-Street
Парковая I-Street
, O
доме B-House
194А I-House
, O
строении B-Building
Б I-Building
, O
квартире B-Flat
455 I-Flat
. O"
"Точка на карте: города Казань, улице Зелёная, д 157, сооружение А.","Точка O
на O
карте O
: O
города B-City
Казань I-City
, O
улице B-Street
Зелёная I-Street
, O
д B-House
157 I-House
, O
сооружение B-Structure
А I-Structure
. O"
"Адрес: Нижегородская область, Ростов-на-Дону, улице Космонавтов, дом 143.","Адрес O
: O
Нижегородская B-Oblast
область I-Oblast
, O
Ростов-на-Дону B-City
, O
улице B-Street
Космонавтов I-Street
, O
дом B-House
143 I-House
. O"
"Доставка по адресу: Краснодарский край, городе Ижевск, проспект Героев, д 76, квартира 354.","Доставка O
по O
адресу O
: O
Краснодарский B-Krai
край I-Krai
, O
городе B-City
Ижевск I-City
, O
проспект B-Avenue
Героев I-Avenue
, O
д B-House
76 I-House
, O
квартира B-Flat
354 I-Flat
. O"
"Мы переехали в Дагестан, в Сочи, бульвар Цветочный, доме 101.","Мы O
переехали O
в O
Дагестан B-Republic
, O
в O
Сочи B-City
, O
бульвар B-Boulevard
Цветочный I-Boulevard
, O
доме B-House
101 I-House
. O"
"Я родился в деревня Поляны, в Советский район, Нижегородская область.","Я O
родился O
в O
деревня B-Village
Поляны I-Village
, O
в O
Советский B-District
район I-District
, O
Нижегородская B-Oblast
область I-Oblast
. O"
"Поеду в поселке Новый, Фрунзенский район, Ставропольский край.","Поеду O
в O
поселке B-Poselok
Новый I-Poselok
, O
Фрунзенский B-District
район I-District
, O
Ставропольский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, города Уфа, шоссе Московское, дом 30, стр А, сооружение В.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
города B-City
Уфа I-City
, O
шоссе B-Highway
Московское I-Highway
, O
дом B-House
30 I-House
, O
стр B-Building
А I-Building
, O
сооружение B-Structure
В I-Structure
. O"
"Встретимся на набережная Речной в Курск.","Встретимся O
на O
набережная B-Embankment
Речной I-Embankment
в O
Курск B-City
. O"
"Живу в микрорайон Южный, Нижний Новгород, улице Парковая, д. 187.","Живу O
в O
микрорайон B-Microdistrict
Южный I-Microdistrict
, O
Нижний B-City
Новгород I-City
, O
улице B-Street
Парковая I-Street
, O
д. B-House
187 I-House
. O"
"Квартира квартире 148 находится по адресу: Ростов-на-Дону, переулок Северный, д. 4.","Квартира O
квартире B-Flat
148 I-Flat
находится O
по O
адресу O
: O
Ростов-на-Дону B-City
, O
переулок B-Lane
Северный I-Lane
, O
д. B-House
4 I-House
. O"
"Наш офис в муниципальное образование Центральный, Великий Новгород, проспект Победы, д 117.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Центральный I-Municipality
, O
Великий B-City
Новгород I-City
, O
проспект B-Avenue
Победы I-Avenue
, O
д B-House
117 I-House
. O"
"Мы находимся в Россия, Тюменская область, Набережные Челны.","Мы O
находимся O
в O
Россия B-Country
, O
Тюменская B-Oblast
область I-Oblast
, O
Набережные B-City
Челны I-City
. O"
"Отправь письмо: Российская Федерация, Хакасия, Кировский район, село Ивановка, улица Гагарина, д. 10А.","Отправь O
письмо O
: O
Российская B-Country
Федерация I-Country
, O
Хакасия B-Republic
, O
Кировский B-District
район I-District
, O
село B-Selo
Ивановка I-Selo
, O
улица B-Street
Гагарина I-Street
, O
д. B-House
10А I-House
. O"
"Я живу в Ижевск, микрорайон Солнечный, квартал 7.","Я O
живу O
в O
Ижевск B-City
, O
микрорайон B-Microdistrict
Солнечный I-Microdistrict
, O
квартал B-Quarter
7 I-Quarter
. O"
"Адрес: Санкт-Петербург, улица Красная, д 192, строение Б, квартире 460.","Адрес O
: O
Санкт-Петербург B-City
, O
улица B-Street
Красная I-Street
, O
д B-House
192 I-House
, O
строение B-Building
Б I-Building
, O
квартире B-Flat
460 I-Flat
. O"
"Точка на карте: Великий Новгород, улица Энергетиков, д. 121В, сооружении В.","Точка O
на O
карте O
: O
Великий B-City
Новгород I-City
, O
улица B-Street
Энергетиков I-Street
, O
д. B-House
121В I-House
, O
сооружении B-Structure
В I-Structure
. O"
"Адрес: Иркутская область, город Нижний Новгород, улица 50-летия Октября, д 186.","Адрес O
: O
Иркутская B-Oblast
область I-Oblast
, O
город B-City
Нижний I-City
Новгород I-City
, O
улица B-Street
50-летия I-Street
Октября I-Street
, O
д B-House
186 I-House
. O"
"Доставка по адресу: Камчатский край, Томск, проспекте Науки, доме 158, кв 374.","Доставка O
по O
адресу O
: O
Камчатский B-Krai
край I-Krai
, O
Томск B-City
, O
проспекте B-Avenue
Науки I-Avenue
, O
доме B-House
158 I-House
, O
кв B-Flat
374 I-Flat
. O"
"Мы переехали в Бурятия, в Псков, бульвар Морской, дом 31В.","Мы O
переехали O
в O
Бурятия B-Republic
, O
в O
Псков B-City
, O
бульвар B-Boulevard
Морской I-Boulevard
, O
дом B-House
31В I-House
. O"
"Я родился в деревни Березовка, в Кировский район, Калужская область.","Я O
родился O
в O
деревни B-Village
Березовка I-Village
, O
в O
Кировский B-District
район I-District
, O
Калужская B-Oblast
область I-Oblast
. O"
"Поеду в посёлке Новый, Железнодорожный район, Краснодарский край.","Поеду O
в O
посёлке B-Poselok
Новый I-Poselok
, O
Железнодорожный B-District
район I-District
, O
Краснодарский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, город Тула, шоссе Московское, д. 66, строении В, сооружение В.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
город B-City
Тула I-City
, O
шоссе B-Highway
Московское I-Highway
, O
д. B-House
66 I-House
, O
строении B-Building
В I-Building
, O
сооружение B-Structure
В I-Structure
. O"
"Встретимся на набережной Волги в Москва.","Встретимся O
на O
набережной B-Embankment
Волги I-Embankment
в O
Москва B-City
. O"
"Живу в микрорайон Южный, городе Великий Новгород, улица Ленина, д 40.","Живу O
в O
микрорайон B-Microdistrict
Южный I-Microdistrict
, O
городе B-City
Великий I-City
Новгород I-City
, O
улица B-Street
Ленина I-Street
, O
д B-House
40 I-House
. O"
"Квартира кв 459 находится по адресу: города Химки, переулке Школьный, д. 143.","Квартира O
кв B-Flat
459 I-Flat
находится O
по O
адресу O
: O
города B-City
Химки I-City
, O
переулке B-Lane
Школьный I-Lane
, O
д. B-House
143 I-House
. O"
"Наш офис в муниципальное образование Академический, Санкт-Петербург, проспект Ленина, д. 216Б.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Академический I-Municipality
, O
Санкт-Петербург B-City
, O
проспект B-Avenue
Ленина I-Avenue
, O
д. B-House
216Б I-House
. O"
"Мы находимся в РФ, Иркутская область, Владивосток.","Мы O
находимся O
в O
РФ B-Country
, O
Иркутская B-Oblast
область I-Oblast
, O
Владивосток B-City
. O"
"Отправь письмо: Россия, Алтай, Октябрьский район, села Красное, улице Ленина, д 23.","Отправь O
письмо O
: O
Россия B-Country
, O
Алтай B-Republic
, O
Октябрьский B-District
район I-District
, O
села B-Selo
Красное I-Selo
, O
улице B-Street
Ленина I-Street
, O
д B-House
23 I-House
. O"
"Я живу в город Ижевск, микрорайон Центральный, квартал 24.","Я O
живу O
в O
город B-City
Ижевск I-City
, O
микрорайон B-Microdistrict
Центральный I-Microdistrict
, O
квартал B-Quarter
24 I-Quarter
. O"
"Адрес: Сочи, улица Октябрьская, д 232, строение Б, квартире 74.","Адрес O
: O
Сочи B-City
, O
улица B-Street
Октябрьская I-Street
, O
д B-House
232 I-House
, O
строение B-Building
Б I-Building
, O
квартире B-Flat
74 I-Flat
. O"
"Точка на карте: Набережные Челны, улица Комсомольская, доме 186Б, сооружение 1.","Точка O
на O
карте O
: O
Набережные B-City
Челны I-City
, O
улица B-Street
Комсомольская I-Street
, O
доме B-House
186Б I-House
, O
сооружение B-Structure
1 I-Structure
. O"
"Адрес: Волгоградская область, Тверь, улица Октябрьская, дом 134.","Адрес O
: O
Волгоградская B-Oblast
область I-Oblast
, O
Тверь B-City
, O
улица B-Street
Октябрьская I-Street
, O
дом B-House
134 I-House
. O"
"Доставка по адресу: Камчатский край, город Калуга, проспект Октября, доме 74, квартире 396.","Доставка O
по O
адресу O
: O
Камчатский B-Krai
край I-Krai
, O
город B-City
Калуга I-City
, O
проспект B-Avenue
Октября I-Avenue
, O
доме B-House
74 I-House
, O
квартире B-Flat
396 I-Flat
. O"
"Мы переехали в Башкортостан, в город Нижний Новгород, бульвар Цветочный, д. 141.","Мы O
переехали O
в O
Башкортостан B-Republic
, O
в O
город B-City
Нижний I-City
Новгород I-City
, O
бульвар B-Boulevard
Цветочный I-Boulevard
, O
д. B-House
141 I-House
. O"
"Я родился в деревни Горки, в Октябрьский район, Тюменская область.","Я O
родился O
в O
деревни B-Village
Горки I-Village
, O
в O
Октябрьский B-District
район I-District
, O
Тюменская B-Oblast
область I-Oblast
. O"
"Поеду в поселке Молодежный, Ленинский район, Камчатский край.","Поеду O
в O
поселке B-Poselok
Молодежный I-Poselok
, O
Ленинский B-District
район I-District
, O
Камчатский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, Нижний Новгород, шоссе Варшавское, дом 99Б, строении В, сооружении 5.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
Нижний B-City
Новгород I-City
, O
шоссе B-Highway
Варшавское I-Highway
, O
дом B-House
99Б I-House
, O
строении B-Building
В I-Building
, O
сооружении B-Structure
5 I-Structure
. O"
"Встретимся на набережная Дона в Самара.","Встретимся O
на O
набережная B-Embankment
Дона I-Embankment
в O
Самара B-City
. O"
"Живу в микрорайон Южный, Самара, улице Мира, д. 176.","Живу O
в O
микрорайон B-Microdistrict
Южный I-Microdistrict
, O
Самара B-City
, O
улице B-Street
Мира I-Street
, O
д. B-House
176 I-House
. O"
"Квартира квартире 241 находится по адресу: городе Набережные Челны, переулке Почтовый, доме 180.","Квартира O
квартире B-Flat
241 I-Flat
находится O
по O
адресу O
: O
городе B-City
Набережные I-City
Челны I-City
, O
переулке B-Lane
Почтовый I-Lane
, O
доме B-House
180 I-House
. O"
"Наш офис в муниципальное образование Северный, Самара, проспект Героев, дом 122Б.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Северный I-Municipality
, O
Самара B-City
, O
проспект B-Avenue
Героев I-Avenue
, O
дом B-House
122Б I-House
. O"
"Мы находимся в Российская Федерация, Тверская область, города Иркутск.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Тверская B-Oblast
область I-Oblast
, O
города B-City
Иркутск I-City
. O"
"Отправь письмо: Россия, Коми, Ленинский район, села Красное, улица Молодёжная, д. 137.","Отправь O
письмо O
: O
Россия B-Country
, O
Коми B-Republic
, O
Ленинский B-District
район I-District
, O
села B-Selo
Красное I-Selo
, O
улица B-Street
Молодёжная I-Street
, O
д. B-House
137 I-House
. O"
"Я живу в Ростов-на-Дону, микрорайоне Южный, квартале 5.","Я O
живу O
в O
Ростов-на-Дону B-City
, O
микрорайоне B-Microdistrict
Южный I-Microdistrict
, O
квартале B-Quarter
5 I-Quarter
. O"
"Адрес: городе Воронеж, улице Парковая, доме 45, строение 10, кв 306.","Адрес O
: O
городе B-City
Воронеж I-City
, O
улице B-Street
Парковая I-Street
, O
доме B-House
45 I-House
, O
строение B-Building
10 I-Building
, O
кв B-Flat
306 I-Flat
. O"
"Точка на карте: Самара, улице Школьная, д 18, сооружении 6.","Точка O
на O
карте O
: O
Самара B-City
, O
улице B-Street
Школьная I-Street
, O
д B-House
18 I-House
, O
сооружении B-Structure
6 I-Structure
. O"
"Адрес: Ленинградская область, города Набережные Челны, улица Победы, доме 116.","Адрес O
: O
Ленинградская B-Oblast
область I-Oblast
, O
города B-City
Набережные I-City
Челны I-City
, O
улица B-Street
Победы I-Street
, O
доме B-House
116 I-House
. O"
"Доставка по адресу: Хабаровский край, Тула, проспекте Октября, д. 236, квартире 368.","Доставка O
по O
адресу O
: O
Хабаровский B-Krai
край I-Krai
, O
Тула B-City
, O
проспекте B-Avenue
Октября I-Avenue
, O
д. B-House
236 I-House
, O
квартире B-Flat
368 I-Flat
. O"
"Мы переехали в Якутия, в Иркутск, бульвар Юности, д. 16.","Мы O
переехали O
в O
Якутия B-Republic
, O
в O
Иркутск B-City
, O
бульвар B-Boulevard
Юности I-Boulevard
, O
д. B-House
16 I-House
. O"
"Я родился в деревня Старое, в Центральный район, Омская область.","Я O
родился O
в O
деревня B-Village
Старое I-Village
, O
в O
Центральный B-District
район I-District
, O
Омская B-Oblast
область I-Oblast
. O"
"Поеду в посёлок Озерный, Ленинский район, Камчатский край.","Поеду O
в O
посёлок B-Poselok
Озерный I-Poselok
, O
Ленинский B-District
район I-District
, O
Камчатский B-Krai
край I-Krai
. O"
"Склад: Ханты-Мансийский автономный округ, города Владивосток, шоссе Ленинградское, д 98, строение 3, сооружение Б.","Склад O
: O
Ханты-Мансийский B-AO
автономный I-AO
округ I-AO
, O
города B-City
Владивосток I-City
, O
шоссе B-Highway
Ленинградское I-Highway
, O
д B-House
98 I-House
, O
строение B-Building
3 I-Building
, O
сооружение B-Structure
Б I-Structure
. O"
"Встретимся на набережной Енисея в город Курск.","Встретимся O
на O
набережной B-Embankment
Енисея I-Embankment
в O
город B-City
Курск I-City
. O"
"Живу в микрорайон Южный, города Великий Новгород, улица Парковая, дом 36.","Живу O
в O
микрорайон B-Microdistrict
Южный I-Microdistrict
, O
города B-City
Великий I-City
Новгород I-City
, O
улица B-Street
Парковая I-Street
, O
дом B-House
36 I-House
. O"
"Квартира квартире 441 находится по адресу: Иркутск, переулок Берёзовый, д 131.","Квартира O
квартире B-Flat
441 I-Flat
находится O
по O
адресу O
: O
Иркутск B-City
, O
переулок B-Lane
Берёзовый I-Lane
, O
д B-House
131 I-House
. O"
"Наш офис в муниципальное образование Центральный, Великий Новгород, проспекте Невский, доме 183.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Центральный I-Municipality
, O
Великий B-City
Новгород I-City
, O
проспекте B-Avenue
Невский I-Avenue
, O
доме B-House
183 I-House
. O"
"Мы находимся в Российская Федерация, Воронежская область, Казань.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Воронежская B-Oblast
область I-Oblast
, O
Казань B-City
. O"
"Отправь письмо: РФ, Якутия, Ленинский район, селе Ключи, улица Пушкина, доме 187.","Отправь O
письмо O
: O
РФ B-Country
, O
Якутия B-Republic
, O
Ленинский B-District
район I-District
, O
селе B-Selo
Ключи I-Selo
, O
улица B-Street
Пушкина I-Street
, O
доме B-House
187 I-House
. O"
"Я живу в Томск, мкр Новый, квартал 34.","Я O
живу O
в O
Томск B-City
, O
мкр B-Microdistrict
Новый I-Microdistrict
, O
квартал B-Quarter
34 I-Quarter
. O"
"Адрес: Великий Новгород, улица Молодёжная, д. 157Б, стр Б, кв 464.","Адрес O
: O
Великий B-City
Новгород I-City
, O
улица B-Street
Молодёжная I-Street
, O
д. B-House
157Б I-House
, O
стр B-Building
Б I-Building
, O
кв B-Flat
464 I-Flat
. O"
"Точка на карте: Химки, улице Новая, д. 43В, сооружении 10.","Точка O
на O
карте O
: O
Химки B-City
, O
улице B-Street
Новая I-Street
, O
д. B-House
43В I-House
, O
сооружении B-Structure
10 I-Structure
. O"
"Адрес: Волгоградская область, Нижний Новгород, улице Комсомольская, дом 74.","Адрес O
: O
Волгоградская B-Oblast
область I-Oblast
, O
Нижний B-City
Новгород I-City
, O
улице B-Street
Комсомольская I-Street
, O
дом B-House
74 I-House
. O"
"Доставка по адресу: Пермский край, Томск, проспект Космонавтов, д. 71, квартира 380.","Доставка O
по O
адресу O
: O
Пермский B-Krai
край I-Krai
, O
Томск B-City
, O
проспект B-Avenue
Космонавтов I-Avenue
, O
д. B-House
71 I-House
, O
квартира B-Flat
380 I-Flat
. O"
"Мы переехали в Марий Эл, в Курск, бульваре Дружбы, доме 67.","Мы O
переехали O
в O
Марий B-Republic
Эл I-Republic
, O
в O
Курск B-City
, O
бульваре B-Boulevard
Дружбы I-Boulevard
, O
доме B-House
67 I-House
. O"
"Я родился в деревне Луговое, в Советский район, Калужская область.","Я O
родился O
в O
деревне B-Village
Луговое I-Village
, O
в O
Советский B-District
район I-District
, O
Калужская B-Oblast
область I-Oblast
. O"
"Поеду в поселок Озерный, Первомайский район, Ставропольский край.","Поеду O
в O
поселок B-Poselok
Озерный I-Poselok
, O
Первомайский B-District
район I-District
, O
Ставропольский B-Krai
край I-Krai
. O"
"Склад: Ямало-Ненецкий автономный округ, Тюмень, шоссе Варшавское, доме 170, стр А, сооружение 5.","Склад O
: O
Ямало-Ненецкий B-AO
автономный I-AO
округ I-AO
, O
Тюмень B-City
, O
шоссе B-Highway
Варшавское I-Highway
, O
доме B-House
170 I-House
, O
стр B-Building
А I-Building
, O
сооружение B-Structure
5 I-Structure
. O"
"Встретимся на набережной Невы в Набережные Челны.","Встретимся O
на O
набережной B-Embankment
Невы I-Embankment
в O
Набережные B-City
Челны I-City
. O"
"Живу в микрорайоне Заречный, Томск, улице Гагарина, дом 74.","Живу O
в O
микрорайоне B-Microdistrict
Заречный I-Microdistrict
, O
Томск B-City
, O
улице B-Street
Гагарина I-Street
, O
дом B-House
74 I-House
. O"
"Квартира квартире 196 находится по адресу: Курск, переулок Школьный, д. 245.","Квартира O
квартире B-Flat
196 I-Flat
находится O
по O
адресу O
: O
Курск B-City
, O
переулок B-Lane
Школьный I-Lane
, O
д. B-House
245 I-House
. O"
"Наш офис в муниципальное образование Северный, городе Нижний Новгород, проспекте Славы, доме 188.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Северный I-Municipality
, O
городе B-City
Нижний I-City
Новгород I-City
, O
проспекте B-Avenue
Славы I-Avenue
, O
доме B-House
188 I-House
. O"
"Мы находимся в Россия, Иркутская область, городе Уфа.","Мы O
находимся O
в O
Россия B-Country
, O
Иркутская B-Oblast
область I-Oblast
, O
городе B-City
Уфа I-City
. O"
"Отправь письмо: РФ, Марий Эл, Ленинский район, селе Ивановка, улица Мира, д 90Б.","Отправь O
письмо O
: O
РФ B-Country
, O
Марий B-Republic
Эл I-Republic
, O
Ленинский B-District
район I-District
, O
селе B-Selo
Ивановка I-Selo
, O
улица B-Street
Мира I-Street
, O
д B-House
90Б I-House
. O"
"Я живу в город Набережные Челны, мкр Сходня, квартал 39.","Я O
живу O
в O
город B-City
Набережные I-City
Челны I-City
, O
мкр B-Microdistrict
Сходня I-Microdistrict
, O
квартал B-Quarter
39 I-Quarter
. O"
"Адрес: Сургут, улица Кирова, д 169, стр 10, кв 95.","Адрес O
: O
Сургут B-City
, O
улица B-Street
Кирова I-Street
, O
д B-House
169 I-House
, O
стр B-Building
10 I-Building
, O
кв B-Flat
95 I-Flat
. O"
"Точка на карте: города Сочи, улице Октябрьская, д 178, сооружении 5.","Точка O
на O
карте O
: O
города B-City
Сочи I-City
, O
улице B-Street
Октябрьская I-Street
, O
д B-House
178 I-House
, O
сооружении B-Structure
5 I-Structure
. O"
"Адрес: Челябинская область, Тверь, улице Ленина, д. 46.","Адрес O
: O
Челябинская B-Oblast
область I-Oblast
, O
Тверь B-City
, O
улице B-Street
Ленина I-Street
, O
д. B-House
46 I-House
. O"
"Доставка по адресу: Забайкальский край, Великий Новгород, проспекте Мира, дом 37, квартире 112.","Доставка O
по O
адресу O
: O
Забайкальский B-Krai
край I-Krai
, O
Великий B-City
Новгород I-City
, O
проспекте B-Avenue
Мира I-Avenue
, O
дом B-House
37 I-House
, O
квартире B-Flat
112 I-Flat
. O"
"Мы переехали в Башкортостан, в Сургут, бульвар Надежд, дом 147.","Мы O
переехали O
в O
Башкортостан B-Republic
, O
в O
Сургут B-City
, O
бульвар B-Boulevard
Надежд I-Boulevard
, O
дом B-House
147 I-House
. O"
"Я родился в деревня Поляны, в Фрунзенский район, Новосибирская область.","Я O
родился O
в O
деревня B-Village
Поляны I-Village
, O
в O
Фрунзенский B-District
район I-District
, O
Новосибирская B-Oblast
область I-Oblast
. O"
